Action_0,Old0,Old1,Old2,Old3,Observation_0,Observation_1,Observation_2,Observation_3,Done,Reward
0,-0.02202109,0.046018604,0.017820384,0.038852002,-0.021100719,-0.1493543,0.018597424,0.33710372,False,1.0
1,-0.021100719,-0.1493543,0.018597424,0.33710372,-0.024087805,0.045498133,0.0253395,0.050342947,False,1.0
0,-0.024087805,0.045498133,0.0253395,0.050342947,-0.023177844,-0.14997782,0.026346358,0.35091174,False,1.0
1,-0.023177844,-0.14997782,0.026346358,0.35091174,-0.026177399,0.04475972,0.033364594,0.06665176,False,1.0
1,-0.026177399,0.04475972,0.033364594,0.06665176,-0.025282204,0.23938783,0.03469763,-0.21532056,False,1.0
1,-0.025282204,0.23938783,0.03469763,-0.21532056,-0.020494448,0.43399698,0.030391218,-0.4968595,False,1.0
0,-0.020494448,0.43399698,0.030391218,-0.4968595,-0.011814509,0.23845999,0.020454029,-0.1947558,False,1.0
1,-0.011814509,0.23845999,0.020454029,-0.1947558,-0.007045309,0.43328348,0.016558914,-0.4809168,False,1.0
0,-0.007045309,0.43328348,0.016558914,-0.4809168,0.0016203607,0.23793177,0.006940578,-0.1830613,False,1.0
0,0.0016203607,0.23793177,0.006940578,-0.1830613,0.006378996,0.042711213,0.003279352,0.111802995,False,1.0
1,0.006378996,0.042711213,0.003279352,0.111802995,0.0072332206,0.23778601,0.005515412,-0.17984349,False,1.0
0,0.0072332206,0.23778601,0.005515412,-0.17984349,0.011988941,0.042585567,0.0019185424,0.114574224,False,1.0
0,0.011988941,0.042585567,0.0019185424,0.114574224,0.012840652,-0.15256381,0.004210027,0.4078618,False,1.0
1,0.012840652,-0.15256381,0.004210027,0.4078618,0.009789376,0.04249817,0.0123672625,0.11650917,False,1.0
1,0.009789376,0.04249817,0.0123672625,0.11650917,0.010639339,0.23744075,0.014697446,-0.17224646,False,1.0
0,0.010639339,0.23744075,0.014697446,-0.17224646,0.0153881535,0.04211156,0.011252517,0.12503654,False,1.0
0,0.0153881535,0.04211156,0.011252517,0.12503654,0.016230384,-0.15316977,0.013753247,0.42124817,False,1.0
1,0.016230384,-0.15316977,0.013753247,0.42124817,0.013166988,0.041754648,0.02217821,0.1329326,False,1.0
1,0.013166988,0.041754648,0.02217821,0.1329326,0.014002081,0.236552,0.024836862,-0.15267172,False,1.0
1,0.014002081,0.236552,0.024836862,-0.15267172,0.018733121,0.43130964,0.021783428,-0.4374168,False,1.0
0,0.018733121,0.43130964,0.021783428,-0.4374168,0.027359314,0.23588625,0.0130350925,-0.13794741,False,1.0
0,0.027359314,0.23588625,0.0130350925,-0.13794741,0.03207704,0.040580064,0.010276144,0.15881914,False,1.0
1,0.03207704,0.040580064,0.010276144,0.15881914,0.032888643,0.23555337,0.013452527,-0.13060427,False,1.0
0,0.032888643,0.23555337,0.013452527,-0.13060427,0.037599713,0.04024133,0.010840442,0.16629225,False,1.0
0,0.037599713,0.04024133,0.010840442,0.16629225,0.03840454,-0.15503408,0.014166287,0.46237516,False,1.0
1,0.03840454,-0.15503408,0.014166287,0.46237516,0.035303857,0.03988482,0.02341379,0.17419094,False,1.0
1,0.035303857,0.03988482,0.02341379,0.17419094,0.036101554,0.23466396,0.02689761,-0.111014664,False,1.0
0,0.036101554,0.23466396,0.02689761,-0.111014664,0.040794834,0.03916712,0.024677316,0.19003147,False,1.0
1,0.040794834,0.03916712,0.024677316,0.19003147,0.041578177,0.23392747,0.028477944,-0.09476572,False,1.0
1,0.041578177,0.23392747,0.028477944,-0.09476572,0.04625673,0.42862993,0.02658263,-0.37832958,False,1.0
1,0.04625673,0.42862993,0.02658263,-0.37832958,0.05482933,0.62336445,0.019016039,-0.66251373,False,1.0
0,0.05482933,0.62336445,0.019016039,-0.66251373,0.06729662,0.42798316,0.005765764,-0.36390442,False,1.0
