Action_0,Old0,Old1,Old2,Observation_0,Observation_1,Observation_2,Done,Reward
-1.730826,-0.16335988,0.98656654,0.3890257,-0.2060745,0.9785363,0.8693267,False,-3.027979
0.13737625,-0.2060745,0.9785363,0.8693267,-0.28475747,0.95859957,1.6238353,False,-3.238148
-0.8404436,-0.28475747,0.95859957,1.6238353,-0.38904005,0.92122084,2.2167184,False,-3.7223158
1.5565048,-0.38904005,0.92122084,2.2167184,-0.5283406,0.8490326,3.14111,False,-4.376227
1.6761717,-0.5283406,0.8490326,3.14111,-0.6875506,0.7261365,4.02931,False,-5.5154724
-0.60244143,-0.6875506,0.7261365,4.02931,-0.8317696,0.5551211,4.4835463,False,-7.0477037
-1.2421058,-0.8317696,0.5551211,4.4835463,-0.93839854,0.34555492,4.713571,False,-8.530001
-0.12649727,-0.93839854,0.34555492,4.713571,-0.9944777,0.10494842,4.9537625,False,-9.998987
0.2850687,-0.9944777,0.10494842,4.9537625,-0.9889764,-0.14807323,5.075234,False,-11.67409
-1.4920486,-0.9889764,-0.14807323,5.075234,-0.92655855,-0.37615067,4.7403717,False,-11.535913
-0.22099127,-0.92655855,-0.37615067,4.7403717,-0.8214235,-0.57031876,4.42511,False,-9.842446
0.28749892,-0.8214235,-0.57031876,4.42511,-0.69028133,-0.7235411,4.040496,False,-8.38294
-1.4885111,-0.69028133,-0.7235411,4.040496,-0.56311446,-0.82637894,3.2745633,False,-7.0761456
0.015284132,-0.56311446,-0.82637894,3.2745633,-0.44868758,-0.8936887,2.6570716,False,-5.7766056
-1.5547012,-0.44868758,-0.8936887,2.6570716,-0.36870587,-0.9295461,1.7535999,False,-4.854095
0.85008365,-0.36870587,-0.9295461,1.7535999,-0.3130654,-0.9497316,1.1839528,False,-4.1045475
0.33092272,-0.3130654,-0.9497316,1.1839528,-0.2882077,-0.95756793,0.5212925,False,-3.7094197
0.12813516,-0.2882077,-0.95756793,0.5212925,-0.2967023,-0.95497,-0.1776632,False,-3.498522
0.6662118,-0.2967023,-0.95497,-0.1776632,-0.3343691,-0.94244224,-0.79395896,False,-3.508113
1.4535012,-0.3343691,-0.94244224,-0.79395896,-0.39408687,-0.9190732,-1.2827655,False,-3.719869
0.5171103,-0.39408687,-0.9190732,-1.2827655,-0.47924936,-0.8776788,-1.8945038,False,-4.06888
-0.7587356,-0.47924936,-0.8776788,-1.8945038,-0.59166914,-0.8061809,-2.6665733,False,-4.6468577
-0.20099583,-0.59166914,-0.8061809,-2.6665733,-0.71609783,-0.69799995,-3.3013582,False,-5.5683846
0.45138288,-0.71609783,-0.69799995,-3.3013582,-0.83385396,-0.5519852,-3.7571507,False,-6.702224
-0.2624138,-0.83385396,-0.5519852,-3.7571507,-0.93079376,-0.36554483,-4.2105017,False,-7.9491673
1.6559316,-0.93079376,-0.36554483,-4.2105017,-0.9868413,-0.16169165,-4.2362704,False,-9.433937
-0.63092464,-0.9868413,-0.16169165,-4.2362704,-0.99818826,0.06016782,-4.452178,False,-10.670559
-0.96407664,-0.99818826,0.06016782,-4.452178,-0.9588742,0.28383127,-4.5516634,False,-11.478075
-0.53225976,-0.9588742,0.28383127,-4.5516634,-0.8733692,0.4870588,-4.4186287,False,-10.216252
-0.93522394,-0.8733692,0.4870588,-4.4186287,-0.75286,0.6581807,-4.1936183,False,-8.885327
-0.021196732,-0.75286,0.6581807,-4.1936183,-0.61881924,0.7855334,-3.7031622,False,-7.6305094
1.5269349,-0.61881924,0.7855334,-3.7031622,-0.49947283,0.86632955,-2.8849719,False,-6.3824735
1.310754,-0.49947283,0.86632955,-2.8849719,-0.40872765,0.9126564,-2.0386114,False,-5.217966
1.1141515,-0.40872765,0.9126564,-2.0386114,-0.35387385,0.93529314,-1.1869963,False,-4.3843246
1.8581303,-0.35387385,0.93529314,-1.1869963,-0.34418386,0.93890226,-0.2068069,False,-3.8789275
-0.21501458,-0.34418386,0.93890226,-0.2068069,-0.3659238,0.9306448,0.46511763,False,-3.699044
-1.044798,-0.3659238,0.9306448,0.46511763,-0.41227004,0.9110617,1.0063815,False,-3.8073897
-0.5254329,-0.41227004,0.9110617,1.0063815,-0.48423392,0.8749386,1.610863,False,-4.084537
0.14175968,-0.48423392,0.8749386,1.610863,-0.580957,0.81393427,2.2883308,False,-4.570462
-0.9065079,-0.580957,0.81393427,2.2883308,-0.6875025,0.72618204,2.7628052,False,-5.323635
-0.6868534,-0.6875025,0.72618204,2.7628052,-0.7945492,0.6071998,3.2044137,False,-6.187279
0.8021869,-0.7945492,0.6071998,3.2044137,-0.89448225,0.44710347,3.7801416,False,-7.2228956
-0.8562196,-0.89448225,0.44710347,3.7801416,-0.96530885,0.26111075,3.9870362,False,-8.601731
0.7492599,-0.96530885,0.26111075,3.9870362,-0.9987796,0.04938968,4.2952585,False,-9.869751
0.6136669,-0.9987796,0.04938968,4.2952585,-0.9852773,-0.17096387,4.4243507,False,-11.406897
1.2614537,-0.9852773,-0.17096387,4.4243507,-0.9225823,-0.38580027,4.485346,False,-10.778703
-0.16382536,-0.9225823,-0.38580027,4.485346,-0.82270324,-0.5684711,4.171422,False,-9.549728
-0.2308661,-0.82270324,-0.5684711,4.171422,-0.7037259,-0.71047163,3.7104387,False,-8.176228
-0.047264166,-0.7037259,-0.71047163,3.7104387,-0.5827457,-0.8126546,3.1704955,False,-6.905935
-0.64704335,-0.5827457,-0.8126546,3.1704955,-0.47846487,-0.8781067,2.463948,False,-5.814433
0.035546746,-0.47846487,-0.8781067,2.463948,-0.39711434,-0.91776913,1.8106999,False,-4.8907733
-0.5931151,-0.39711434,-0.91776913,1.8106999,-0.34918424,-0.9370541,1.0334058,False,-4.245318
-1.7137797,-0.34918424,-0.9370541,1.0334058,-0.345736,-0.93833184,0.0735482,False,-3.824975
0.040328577,-0.345736,-0.93833184,0.0735482,-0.37484595,-0.9270871,-0.6241514,False,-3.701625
1.3154722,-0.37484595,-0.9270871,-0.6241514,-0.42624536,-0.9046076,-1.1221459,False,-3.8628168
