Action_0,Action_1,Action_2,Old0,Old1,Old2,Old3,Old4,Old5,Old6,Old7,Old8,Old9,Old10,Observation_0,Observation_1,Observation_2,Observation_3,Observation_4,Observation_5,Observation_6,Observation_7,Observation_8,Observation_9,Observation_10,Done,Reward
-0.41351122,0.36282018,1.0,1.2463001,-0.002011546,-0.0023263227,0.0018533813,0.0040372442,-3.1331554e-05,0.0007989574,0.0032180417,7.087458e-05,0.0023345253,0.0023700343,1.2459052,-0.00499105,-0.009396567,0.0005644639,0.016860051,0.1563766,-0.081941284,-0.5670466,-1.3762026,-0.13386056,2.378962,False,1.0672051
-0.47484463,1.0,1.0,1.2459052,-0.00499105,-0.009396567,0.0005644639,0.016860051,0.1563766,-0.081941284,-0.5670466,-1.3762026,-0.13386056,2.378962,1.2446847,-0.011794889,-0.028345168,0.0051454,0.041767973,0.5949795,-0.19828358,-0.9779195,-2.709747,0.62107587,3.6936905,False,1.4391017
-0.34785864,1.0,1.0,1.2446847,-0.011794889,-0.028345168,0.0051454,0.041767973,0.5949795,-0.19828358,-0.9779195,-2.709747,0.62107587,3.6936905,1.2425343,-0.019680057,-0.04995289,0.006169894,0.07978564,0.7042968,-0.30901182,-0.9848747,-2.715029,-0.11687027,5.326616,False,1.67886
-0.3034258,1.0,1.0,1.2425343,-0.019680057,-0.04995289,0.006169894,0.07978564,0.7042968,-0.30901182,-0.9848747,-2.715029,-0.11687027,5.326616,1.2396001,-0.027158175,-0.07256356,0.004777425,0.12762634,0.75430906,-0.40158397,-0.90368474,-2.930813,-0.111058235,6.2922635,False,1.7284654
-0.2825163,1.0,1.0,1.2396001,-0.027158175,-0.07256356,0.004777425,0.12762634,0.75430906,-0.40158397,-0.90368474,-2.930813,-0.111058235,6.2922635,1.2359315,-0.03375335,-0.09692652,0.0050321575,0.18117191,0.8384704,-0.49499226,-0.7760642,-3.087945,0.090167284,6.9220757,False,1.8024594
-0.3074351,1.0,1.0,1.2359315,-0.03375335,-0.09692652,0.0050321575,0.18117191,0.8384704,-0.49499226,-0.7760642,-3.087945,0.090167284,6.9220757,1.2314903,-0.039521746,-0.1218819,0.0057079946,0.2395828,0.90374494,-0.59317845,-0.6879663,-3.119325,0.054871574,7.523095,False,1.8786733
-0.22682367,1.0,1.0,1.2314903,-0.039521746,-0.1218819,0.0057079946,0.2395828,0.90374494,-0.59317845,-0.6879663,-3.119325,0.054871574,7.523095,1.2263039,-0.044034995,-0.14574336,0.0057325363,0.29951912,0.9297156,-0.67637396,-0.49771973,-2.909414,0.03965547,7.369433,False,1.9170803
-0.21724422,1.0,1.0,1.2263039,-0.044034995,-0.14574336,0.0057325363,0.29951912,0.9297156,-0.67637396,-0.49771973,-2.909414,0.03965547,7.369433,1.2248279,-0.04774109,-0.16731378,0.0060307547,0.356543,1.4545623,0.23549162,-0.46898204,-2.5666585,-0.0022275453,6.9963336,False,2.2049522
0.11949013,1.0,0.96255463,1.2248279,-0.04774109,-0.16731378,0.0060307547,0.356543,1.4545623,0.23549162,-0.46898204,-2.5666585,-0.0022275453,6.9963336,1.2310383,-0.049171437,-0.18275565,0.004577908,0.4106485,1.837378,1.0114851,-0.019494358,-1.6734997,-0.19024283,6.658231,False,2.7373834
0.24635775,1.0,1.0,1.2310383,-0.049171437,-0.18275565,0.004577908,0.4106485,1.837378,1.0114851,-0.019494358,-1.6734997,-0.19024283,6.658231,1.2401015,-0.046455096,-0.1933309,0.0034104905,0.4646781,1.7122899,1.1359499,0.5424634,-1.187798,-0.074245095,6.862516,False,2.7821753
